Incident Year,Month/Day,Number of  Crimes
2020,2/4,369
2020,2/5,374
2020,2/6,361
2020,2/7,376
2020,2/8,415
2020,2/9,382
2020,3/1,380
2020,3/10,339
2020,3/11,396
2020,3/12,344
2020,3/13,325
2020,3/14,312
2020,3/15,287
2020,3/16,295
2020,3/17,234
2020,3/18,235
2020,3/19,224
2020,3/2,337
2020,3/20,305
2020,3/21,250
2020,3/22,207
2020,3/23,241
2020,3/24,206
2020,3/25,249
2020,3/26,216
2020,3/27,217
2020,3/28,220
2020,3/29,203
2020,3/3,391
2020,3/30,202
2020,3/31,215
2020,3/4,367
2020,3/5,333
2020,3/6,404
2020,3/7,364
2020,3/8,342
2020,3/9,390
2020,4/1,239
2020,4/10,242
2020,4/11,293
2020,4/12,260
2020,4/13,270
2020,4/14,294
2020,4/15,290
2020,4/16,233
2020,4/17,237
2020,4/18,213
2020,4/19,249
2020,4/2,235
2020,4/20,303
2020,4/21,206
2020,4/22,223
2020,4/23,237
2020,4/24,281
2020,4/25,248
2020,4/26,261
2020,4/27,244
2020,4/28,260
2020,4/29,241
2020,4/3,229
2020,4/30,221
2020,4/4,214
2020,4/5,209
2020,4/6,205
2020,4/7,257
2020,4/8,263
2020,4/9,227
2020,5/1,228
2020,5/2,215
2020,5/3,198
2020,5/4,241
2020,5/5,262
2020,5/6,186
2020,5/7,116
